Student_ID,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8,Question_9,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16
30,V,K,A,V,R,V,A,K,K,A,A,R,A,R,A,V
31,A,A,V,V,R,A,V,V,K,R,A,V,A,V,K,R
32,R,A,V,K,R,K,R,K,A,R,R,A,V,V,K,A
33,A,V,K,V,V,K,R,K,A,K,V,K,R,A,A,K
34,K,V,K,V,V,V,V,V,R,K,K,A,R,A,A,R
35,R,R,K,A,R,A,V,A,A,K,V,A,V,R,K,R
36,A,R,V,K,K,V,K,K,V,A,V,V,V,K,K,A
37,R,V,A,R,R,R,V,R,V,K,V,V,A,V,R,K
38,R,R,V,K,R,A,V,R,R,R,A,A,K,K,K,V
39,A,R,V,A,R,V,R,V,A,V,K,R,K,K,K,R
40,A,K,V,R,R,V,A,A,A,K,A,V,A,K,K,K
41,V,R,R,K,K,A,A,R,K,V,A,K,R,K,V,R
42,R,A,V,A,K,K,A,A,K,A,A,V,R,K,V,R
43,A,V,A,A,V,A,V,R,V,R,R,V,A,R,R,V
44,A,A,R,K,V,V,A,A,A,A,V,R,K,K,K,V
45,R,V,A,R,V,R,K,K,R,R,R,V,V,V,V,A
46,R,A,R,K,R,R,A,K,V,A,V,K,K,K,A,R
47,V,V,V,A,A,R,R,R,V,K,A,K,R,A,A,K
48,A,A,K,A,V,K,K,K,V,R,A,K,A,A,K,V
49,R,R,A,V,A,A,K,R,V,K,R,A,R,K,V,A
50,R,A,V,A,A,R,K,V,V,R,A,V,K,A,V,K
51,K,A,K,V,V,K,V,V,R,R,A,V,K,V,K,K
52,K,V,V,V,A,V,V,V,K,K,A,R,K,K,R,R
53,V,K,V,R,V,R,R,K,R,V,R,K,V,R,A,A
54,V,K,V,R,K,R,A,R,V,K,V,R,A,K,K,K
55,V,R,R,K,K,R,R,A,A,A,A,V,A,A,V,K
56,V,R,A,R,V,K,V,V,A,V,A,K,V,R,K,R
57,A,R,A,R,V,R,A,R,K,K,A,K,K,V,K,V
58,K,K,A,A,V,R,K,R,K,K,R,K,R,R,R,A
59,A,K,A,K,R,V,V,V,K,R,K,A,K,V,K,R
60,V,R,K,K,K,A,K,V,A,A,V,A,R,K,A,V
61,V,A,A,V,A,V,K,A,V,R,R,A,K,A,K,R
62,A,V,V,V,V,K,R,K,K,K,V,K,K,A,A,R
63,V,R,K,V,R,A,A,V,V,V,V,A,A,K,K,A
64,V,V,V,A,K,V,K,K,K,V,V,A,R,K,K,A
65,A,K,R,A,R,R,R,R,A,V,A,K,V,R,K,A
66,V,V,A,V,R,K,R,A,K,A,R,K,A,R,R,A
67,V,R,K,A,R,R,V,V,A,K,V,K,K,K,V,K
68,K,R,K,R,A,R,R,R,V,R,A,V,K,A,K,A
69,K,V,R,R,A,A,R,A,R,V,K,K,R,R,A,V
70,V,R,K,A,K,R,A,K,V,A,R,A,R,K,R,K
71,K,K,V,A,A,R,A,K,V,K,R,K,A,R,V,V
72,V,K,A,R,R,K,K,V,R,A,V,K,K,R,K,R
73,A,R,R,A,K,R,K,A,K,K,A,R,R,K,R,A
74,V,K,R,V,K,A,K,R,R,R,V,V,V,R,A,K
75,A,R,A,A,R,A,A,R,R,R,K,K,K,K,V,R
76,A,A,R,R,V,A,R,A,V,A,A,V,V,V,V,R
77,A,R,V,V,R,V,A,K,V,A,R,K,A,K,R,A
78,K,K,A,K,A,K,R,K,A,V,K,V,R,V,V,A
79,R,R,R,V,R,K,V,K,K,R,A,R,A,A,V,A
80,A,R,R,K,V,V,K,V,K,A,A,A,R,K,V,A
