Student_ID,Question_1,Question_2,Question_3,Question_4,Question_5,Question_6,Question_7,Question_8,Question_9,Question_10,Question_11,Question_12,Question_13,Question_14,Question_15,Question_16
50,R,K,K,R,K,A,K,R,A,R,V,K,V,R,R,R
51,K,V,V,K,K,V,R,A,R,A,K,R,R,A,R,K
52,R,R,R,K,R,K,A,R,A,R,A,K,V,R,V,R
53,A,R,R,A,V,K,V,K,K,A,A,K,A,V,V,V
54,V,R,R,A,A,V,K,R,A,A,K,A,A,V,R,A
55,K,V,R,V,A,K,R,R,R,A,K,R,V,K,K,R
56,A,V,K,A,A,K,R,A,R,R,V,A,A,K,K,A
57,A,R,V,K,K,V,K,R,V,V,V,R,V,V,R,A
58,K,K,V,R,A,K,K,V,V,K,R,R,R,A,K,A
59,R,R,R,V,A,R,A,R,K,K,K,K,V,R,V,A
60,A,A,V,R,R,K,K,V,V,R,K,K,K,V,R,V
61,R,V,A,R,V,R,V,R,K,K,R,A,K,K,V,R
62,K,V,K,V,V,K,V,A,K,V,A,A,A,A,K,R
63,K,V,A,A,R,A,R,K,K,K,R,R,A,R,K,K
64,R,R,V,R,A,R,K,A,A,K,R,A,A,K,V,R
65,R,V,V,V,K,A,A,K,A,K,A,K,V,A,K,R
66,K,V,V,K,K,A,R,A,V,K,R,K,R,R,V,R
67,V,K,K,K,A,R,R,K,R,K,R,V,A,A,K,K
68,R,R,K,R,R,V,K,A,R,A,R,R,K,V,A,K
69,A,V,V,V,A,R,R,V,V,A,K,K,K,A,K,V
70,V,R,K,A,R,K,V,A,K,A,R,R,K,V,R,K
71,V,A,K,A,V,R,V,K,R,K,R,A,K,V,A,K
72,K,V,V,R,K,R,A,R,K,V,R,R,A,R,R,K
73,A,V,K,V,V,R,A,K,V,A,R,R,R,R,K,K
74,R,R,A,R,V,A,A,A,K,R,A,A,A,K,A,V
75,A,K,R,K,K,A,V,V,A,R,K,K,V,A,A,K
76,K,R,R,K,K,R,R,R,R,R,K,V,A,A,K,R
77,R,V,V,A,A,A,V,K,V,V,V,A,R,R,V,V
78,V,V,V,R,R,K,K,K,V,A,V,V,V,V,K,R
79,K,V,R,K,R,V,A,K,A,R,K,V,V,R,V,V
80,V,K,R,A,R,A,A,V,V,R,K,R,V,A,A,V
81,K,V,A,K,K,K,V,V,K,V,R,K,V,R,R,K
82,K,R,R,V,R,V,V,V,R,R,A,A,V,V,A,V
83,K,A,R,V,V,K,A,V,A,V,R,K,V,R,K,A
84,K,K,K,K,K,R,K,A,K,V,V,A,A,V,K,V
85,R,K,K,K,K,R,A,A,K,K,A,V,A,K,A,R
86,K,V,V,A,R,K,K,V,R,A,V,A,V,A,R,V
87,A,A,A,K,R,A,K,A,A,A,A,R,V,R,V,V
88,R,K,A,K,A,K,V,A,V,R,A,V,R,V,V,K
89,V,V,K,A,A,V,K,R,K,A,K,V,K,V,V,K
90,R,V,K,R,K,K,A,V,K,R,A,K,A,V,V,R
91,V,V,R,R,K,V,K,R,V,R,R,V,A,V,R,A
92,K,K,K,A,R,V,R,R,A,R,K,V,A,K,A,K
93,K,V,V,A,R,R,A,V,A,K,K,R,A,K,R,V
94,A,A,A,K,K,V,R,R,R,K,A,V,V,K,A,V
95,A,V,R,K,A,K,V,K,R,A,R,V,A,R,K,R
96,K,A,V,R,K,K,K,R,V,K,K,V,R,K,A,A
97,R,V,V,A,V,V,R,V,V,A,K,A,A,K,V,V
98,K,K,K,V,V,R,A,V,K,R,R,V,R,R,V,A
99,V,A,V,V,V,V,V,V,V,K,K,K,A,A,A,K
100,V,R,K,A,A,A,V,A,A,V,R,K,V,A,V,K
101,R,K,V,V,K,V,A,V,V,A,V,A,A,A,K,A
102,A,R,K,K,V,K,V,R,V,V,V,A,V,A,A,R
103,V,V,R,K,R,R,V,A,K,A,R,K,V,K,R,K
104,V,K,V,A,A,R,A,A,V,V,V,V,K,K,V,V
105,A,A,A,K,K,K,K,R,V,K,R,K,R,A,K,A
106,K,K,A,R,K,R,K,R,R,R,R,K,A,K,R,V
107,R,V,V,K,K,V,K,A,V,R,V,V,A,R,K,A
108,V,V,V,R,A,R,K,V,V,A,K,K,A,K,K,K
109,R,V,A,R,A,V,R,K,K,K,K,R,V,K,V,R
110,K,A,K,V,V,A,V,K,K,A,R,K,A,R,R,K
111,K,V,R,A,R,V,A,K,V,R,R,A,A,R,R,V
112,K,V,R,V,V,K,A,R,K,K,K,A,R,A,K,K
113,V,A,K,A,R,V,R,K,R,V,R,R,V,K,A,K
114,K,A,A,V,K,V,V,A,K,V,K,R,K,K,A,A
115,V,V,R,V,V,A,R,K,R,V,V,R,V,R,A,R
116,K,A,R,A,R,K,A,V,R,R,V,K,K,V,V,R
117,V,K,A,K,K,V,R,V,V,K,K,V,A,K,V,V
118,V,V,V,A,A,V,K,V,V,K,A,K,V,V,R,A
119,R,R,K,R,A,A,A,A,R,K,A,R,V,K,A,V
120,K,A,K,K,R,V,R,K,K,R,R,R,K,V,V,A
121,V,A,V,A,V,V,A,A,K,R,V,R,V,A,K,A
122,V,V,V,R,R,K,A,A,R,K,V,V,K,A,A,R
123,A,R,A,V,K,A,K,V,A,K,K,V,R,R,A,V
124,V,V,R,K,A,V,R,R,R,K,V,K,R,K,R,V
125,A,V,K,A,V,V,R,A,A,K,R,V,V,A,K,V
126,R,A,R,R,K,K,A,K,A,A,A,K,V,V,A,V
127,A,R,A,A,R,V,R,K,K,V,V,A,V,K,A,K
128,R,A,R,A,V,V,K,R,V,K,V,V,V,V,K,R
129,A,V,V,A,V,V,A,V,K,V,R,R,V,V,A,R
130,K,K,V,V,R,R,A,K,K,K,A,A,A,A,V,A
131,R,A,A,K,V,R,V,V,K,R,V,V,V,V,A,R
132,K,K,V,R,K,A,K,V,V,R,V,V,A,A,K,R
133,V,A,R,K,V,A,K,A,A,K,V,R,R,V,A,K
134,K,K,K,R,R,R,R,V,K,V,K,R,V,A,K,V
135,K,K,V,A,V,K,A,R,R,V,A,A,V,K,V,K
136,R,V,A,V,V,V,K,V,R,A,K,V,K,K,R,V
137,K,R,V,A,K,R,V,V,R,R,R,V,R,K,V,V
138,A,V,A,R,A,R,V,K,R,V,K,R,A,A,A,V
139,A,V,V,V,R,K,V,V,A,A,K,A,R,V,A,A
140,R,R,V,R,R,K,K,R,V,V,A,V,R,R,V,A
141,A,K,A,V,K,A,V,R,A,A,V,R,K,A,R,R
142,K,V,K,R,A,K,A,K,A,R,A,V,A,V,A,K
143,A,K,K,K,R,V,A,V,A,K,K,A,K,A,K,A
144,R,K,A,R,A,V,R,V,K,V,K,R,A,K,A,A
145,K,R,A,V,R,K,R,R,A,V,V,R,R,V,R,K
146,R,A,A,V,V,K,A,K,K,A,V,A,A,K,A,R
147,K,R,R,V,V,R,A,R,V,K,V,K,K,R,A,A
148,V,V,V,V,V,A,A,K,V,R,V,V,R,K,A,A
149,K,K,K,K,A,V,R,A,R,K,R,R,V,A,R,A
150,A,K,V,R,K,R,R,A,K,R,A,V,V,A,R,R
151,R,K,A,K,A,V,R,V,R,A,R,K,A,R,R,K
152,K,A,V,K,V,V,A,K,V,A,V,A,A,A,A,K
153,A,K,K,A,K,R,R,V,V,K,V,K,K,A,A,V
154,A,V,A,R,V,V,K,A,A,K,R,K,K,K,V,V
155,K,A,R,V,V,A,K,K,R,A,A,A,R,R,K,V
156,R,V,V,R,A,R,K,V,R,A,R,A,R,V,K,R
157,K,K,K,R,A,A,V,R,V,R,K,V,R,R,A,A
158,A,A,A,K,K,K,K,R,R,K,V,A,R,R,K,A
159,R,K,A,K,K,K,R,K,V,V,K,V,A,R,V,V
160,V,V,A,A,K,R,K,K,K,R,V,A,V,R,K,K
161,V,R,R,R,K,A,R,R,A,V,A,R,K,R,A,R
162,V,R,K,R,R,V,R,V,V,V,R,K,V,R,A,R
163,K,V,R,R,K,R,R,A,V,V,A,K,A,R,A,A
164,K,R,A,R,R,A,K,V,K,K,K,V,K,V,A,R
165,V,A,A,V,A,K,K,V,R,V,A,K,K,K,K,K
166,A,K,V,A,K,A,A,R,K,A,A,V,A,V,A,V
167,V,R,A,A,K,K,R,K,K,A,V,V,V,K,V,K
168,V,A,A,R,V,R,K,V,R,K,R,R,V,R,K,V
169,V,A,K,V,K,K,A,K,A,A,K,R,A,A,K,R
170,R,V,K,K,R,V,V,V,V,V,R,R,K,A,K,V
171,R,V,V,V,A,R,V,K,K,K,A,K,V,K,A,A
172,A,R,A,R,R,A,K,K,R,K,R,A,R,R,R,K
173,V,V,A,A,R,V,V,A,K,R,R,V,A,R,R,R
174,A,V,A,K,K,A,R,R,A,K,K,A,V,K,A,V
175,A,K,V,V,A,A,A,A,K,A,V,V,V,V,R,V
176,R,K,K,V,R,K,R,R,K,K,K,K,R,A,R,R
177,A,R,V,R,R,V,V,K,K,A,K,V,A,K,R,V
178,A,A,R,R,V,V,V,K,A,V,K,R,K,K,A,K
179,K,R,V,A,V,R,K,K,A,A,K,A,V,V,K,A
180,K,A,R,K,V,K,K,K,A,A,V,A,A,R,K,V
181,A,V,V,K,R,A,K,R,K,K,R,R,V,K,K,R
182,A,V,V,A,A,V,K,V,K,R,K,R,R,R,V,K
183,V,A,R,K,R,R,A,K,K,A,V,K,V,V,V,A
184,K,R,R,A,K,V,A,V,A,R,V,K,A,R,V,V
185,K,A,R,R,R,A,R,V,A,R,V,R,K,A,A,K
186,A,V,R,V,R,A,V,A,K,R,K,A,V,A,V,R
187,K,V,A,R,K,A,K,K,R,V,R,A,K,A,R,V
188,V,A,K,R,A,V,A,R,R,R,V,V,K,A,V,K
189,A,V,V,R,R,A,A,A,V,R,R,R,R,V,V,R
190,R,K,A,K,A,R,K,K,A,A,V,A,V,V,A,K
191,V,K,A,K,V,K,A,A,R,A,A,A,V,R,K,K
192,R,V,K,V,R,V,R,V,K,K,A,A,A,R,V,R
193,K,A,A,A,R,V,A,R,R,K,R,R,A,K,R,A
194,R,V,V,K,R,R,V,R,R,V,K,K,V,K,K,R
195,R,K,R,K,V,A,A,R,V,R,K,R,R,K,R,A
196,R,R,K,K,K,A,K,R,R,K,V,A,V,V,A,V
197,A,K,V,R,V,A,V,V,K,A,R,V,K,A,K,R
198,V,V,R,R,A,K,K,K,V,V,K,V,R,A,A,R
199,R,A,R,K,R,K,K,V,K,V,V,A,K,R,K,K
200,R,K,V,V,R,V,V,A,A,A,R,K,V,A,A,R
201,V,R,K,V,V,V,R,V,A,R,R,K,V,A,K,R
202,R,A,V,V,K,K,K,A,V,R,A,A,R,R,A,A
203,R,R,K,K,R,R,K,R,K,V,R,K,A,V,K,A
204,V,K,K,R,A,R,R,K,K,A,K,A,K,K,V,R
205,V,A,V,R,V,V,A,R,R,A,V,V,K,A,R,A
206,R,R,K,K,R,K,R,K,R,A,A,A,R,R,K,R
207,K,R,K,A,K,K,A,A,K,K,R,V,K,V,A,V
208,K,K,A,K,R,K,V,V,R,K,V,K,R,R,R,A
209,A,K,V,K,A,V,A,R,R,A,K,V,R,A,A,K
210,R,R,A,A,K,R,R,K,V,K,K,A,R,K,K,R
211,K,R,K,A,V,R,K,V,V,V,V,V,A,A,V,A
212,A,R,V,A,K,V,R,R,R,V,V,R,V,R,V,A
213,R,V,A,K,K,V,A,A,K,A,A,K,V,V,V,A
214,K,R,V,K,V,A,A,V,R,R,A,V,A,R,K,A
215,A,A,A,A,A,V,A,A,A,V,R,V,R,K,K,R
216,R,V,V,R,V,K,A,K,K,V,R,R,K,K,K,R
217,A,V,A,A,A,V,K,R,A,K,V,A,V,A,A,R
218,A,R,R,V,V,R,A,A,A,K,A,A,A,K,V,V
219,K,R,K,A,K,V,R,R,K,R,A,R,K,K,K,V
220,R,K,K,K,K,R,K,K,V,R,K,K,A,R,A,V
221,R,V,V,K,K,V,A,R,R,K,V,V,K,A,A,K
222,V,V,A,A,K,A,R,R,R,A,A,A,A,A,R,R
223,V,K,R,V,R,K,R,A,A,A,A,A,V,A,K,K
224,V,K,V,K,V,A,R,R,V,V,V,V,K,R,K,R
225,V,V,A,K,A,K,K,V,K,K,A,A,A,A,A,R
226,A,A,A,K,K,A,A,K,R,A,R,R,V,V,A,R
227,V,R,K,R,V,V,R,A,V,V,K,R,V,R,V,R
228,V,A,R,R,V,R,A,V,V,K,V,A,V,A,R,V
229,K,V,V,A,R,K,R,A,R,A,K,K,K,R,R,K
230,K,V,A,A,K,V,R,V,A,R,K,K,K,K,R,R
231,V,A,A,K,A,R,R,R,V,R,R,V,A,A,R,R
232,A,R,R,V,R,V,R,R,A,A,A,A,A,K,A,V
233,V,A,K,K,V,V,R,K,A,K,R,A,A,R,V,K
234,R,K,A,A,V,A,A,V,A,A,V,R,K,A,R,K
235,K,K,A,K,R,V,K,V,V,A,K,K,V,V,A,V
236,R,V,K,K,A,V,R,A,V,K,R,V,R,V,V,K
237,R,K,K,R,K,A,V,K,A,A,R,A,K,R,K,A
238,A,V,V,R,K,R,V,R,V,V,K,A,K,K,K,V
239,R,K,A,A,V,A,A,A,V,V,V,K,K,R,R,V
240,R,A,K,V,R,K,A,R,R,R,K,R,K,V,K,V
241,A,K,K,A,R,A,V,R,K,V,A,A,V,V,A,R
242,V,K,V,K,K,A,R,R,A,A,A,V,K,V,R,V
243,K,R,A,A,K,A,K,V,K,A,K,K,R,R,V,K
244,A,V,V,V,V,A,V,R,A,V,R,A,R,R,V,A
245,V,R,K,K,V,A,K,A,A,V,A,V,V,V,R,K
246,R,R,K,V,R,K,V,K,V,R,R,K,V,A,K,K
247,K,V,R,R,R,R,V,R,K,R,R,R,A,V,V,V
248,R,K,R,K,R,K,K,K,V,A,V,V,V,A,R,K
249,A,K,K,K,A,V,K,R,K,R,V,A,R,V,R,A
250,K,A,V,K,K,R,R,V,R,A,A,K,K,K,K,K
251,A,R,R,K,R,A,V,A,R,K,R,V,R,R,V,V
252,A,V,R,A,A,A,R,V,A,A,V,A,R,R,A,R
253,V,A,K,K,V,R,R,K,R,V,V,K,A,R,K,R
254,K,R,R,R,V,R,A,V,R,A,R,R,K,A,A,K
255,K,R,V,V,R,R,V,A,V,R,K,A,K,R,A,R
256,A,R,V,R,V,V,A,K,A,V,R,K,R,V,A,K
257,K,K,R,R,K,A,K,R,R,R,V,K,V,K,A,A
258,R,K,K,A,K,K,V,A,V,V,R,A,A,A,A,V
259,V,V,V,A,K,K,A,R,A,R,A,A,A,V,V,R
260,R,A,V,V,A,V,V,A,R,K,R,R,K,K,K,K
261,R,A,A,R,V,A,A,R,V,V,R,K,R,R,K,K
262,K,V,A,R,A,R,K,K,K,R,K,V,A,K,A,R
263,V,R,R,V,V,K,R,V,R,K,A,A,A,R,A,R
264,K,K,K,R,V,V,V,R,K,V,K,K,K,R,V,A
265,A,V,R,K,R,R,A,R,A,K,A,K,K,K,A,K
266,V,R,R,R,V,V,K,K,V,R,R,R,V,R,A,V
267,R,K,R,R,A,A,A,K,K,R,V,K,K,K,R,A
268,K,K,V,K,K,R,A,V,A,A,A,V,R,A,V,K
269,V,A,V,K,R,A,R,A,A,R,V,A,K,V,A,A
270,R,V,R,K,A,V,K,R,K,A,V,A,A,R,A,V
271,V,V,K,V,R,R,K,R,A,K,K,R,R,A,K,K
272,R,V,K,V,A,K,A,K,V,K,R,A,V,R,V,R
273,R,V,R,V,A,K,R,R,A,K,V,A,K,R,V,A
274,K,V,R,R,V,K,A,V,A,R,V,K,A,V,R,V
275,A,K,R,A,R,K,R,K,V,K,R,V,K,V,K,V
276,R,A,R,A,A,A,K,A,A,V,V,K,R,A,A,K
277,K,K,R,V,R,V,V,K,R,K,V,V,A,K,A,K
278,V,K,K,V,V,A,K,R,A,A,R,R,R,R,K,A
279,R,V,V,R,K,R,R,A,R,V,A,V,K,K,R,V
280,A,R,K,K,A,K,R,V,R,V,K,R,V,V,A,A
281,V,R,A,R,K,A,A,R,K,V,A,K,K,A,V,K
282,V,R,A,R,K,V,R,R,V,A,R,V,R,V,V,K
283,A,R,R,R,A,K,R,K,R,V,K,K,V,K,R,A
284,A,K,K,K,R,A,R,K,K,K,V,V,A,K,A,V
285,V,V,K,R,R,K,R,R,K,R,R,K,R,V,K,A
286,V,K,K,K,K,K,R,R,K,V,R,K,V,A,V,V
287,K,V,V,R,K,K,K,V,A,V,K,K,A,A,A,V
288,V,R,A,V,K,V,K,V,K,K,V,K,V,K,A,V
289,A,V,K,A,K,V,R,K,V,R,A,K,K,V,K,K
290,A,R,A,K,V,A,R,V,A,R,V,V,K,A,V,R
291,R,A,A,R,K,A,A,R,A,A,R,K,K,V,K,V
292,V,R,A,A,R,A,R,K,R,V,K,R,R,K,K,A
293,K,A,A,K,V,R,R,K,V,K,K,R,K,K,A,K
294,R,V,K,K,K,A,R,K,V,K,V,A,K,V,R,K
295,K,R,R,A,A,K,K,K,A,A,R,K,A,R,A,V
296,R,V,A,K,V,A,V,R,R,R,V,V,A,K,K,R
297,V,R,A,R,R,V,R,A,A,A,K,K,K,K,K,V
298,K,V,K,R,V,V,V,V,R,V,R,A,V,R,R,V
299,R,A,K,K,K,A,R,K,K,V,V,V,K,R,K,A
300,K,R,V,A,R,R,A,V,K,V,R,K,K,V,A,R
301,V,R,K,A,A,R,K,K,K,V,R,V,V,V,R,V
302,R,K,V,R,A,A,R,A,K,R,V,V,A,A,V,R
303,V,A,K,K,A,A,V,K,R,V,A,K,R,K,R,R
304,A,K,K,A,R,R,A,K,V,A,V,R,V,V,K,K
305,R,A,V,V,K,V,V,A,R,K,V,V,K,A,A,K
306,A,A,A,A,A,K,K,A,V,K,V,A,A,R,K,R
307,K,R,K,R,R,K,K,V,R,A,A,V,A,A,K,R
308,K,A,A,R,A,V,R,A,K,A,A,V,R,R,V,K
309,R,V,V,V,A,K,K,R,R,A,K,R,K,K,K,V
310,A,R,K,K,R,V,K,V,R,K,V,K,A,A,R,K
311,K,K,K,R,A,K,K,A,A,V,R,V,K,A,V,R
312,V,A,V,K,V,A,A,V,R,K,K,A,V,K,R,R
313,V,R,R,R,V,K,R,V,V,K,V,K,K,R,V,V
314,A,V,A,K,V,R,A,R,A,A,V,K,V,A,K,K
315,K,K,R,A,R,K,A,K,A,R,R,V,R,K,V,V
316,R,A,A,K,A,K,V,A,R,A,R,V,A,R,A,R
317,K,A,K,K,K,R,K,K,A,A,A,V,R,A,A,K
318,R,A,K,R,A,A,A,R,A,A,A,R,R,K,K,V
319,R,K,V,K,A,V,K,R,V,K,A,R,V,V,K,R
320,K,K,A,R,V,A,K,V,A,R,K,K,K,V,R,R
321,V,V,K,V,V,A,A,V,K,V,R,A,A,K,R,V
322,R,A,K,A,V,A,K,V,R,R,A,R,V,K,K,V
323,V,V,A,K,R,V,A,R,R,A,V,K,A,R,V,A
324,V,K,R,K,V,A,V,V,K,R,R,A,V,V,A,R
325,A,V,A,V,R,A,A,A,K,K,R,A,R,K,V,A
326,R,K,K,K,V,R,A,V,R,A,K,K,R,A,R,K
327,R,A,A,R,R,V,A,V,V,A,A,K,V,V,K,K
328,R,A,V,R,R,K,A,R,V,V,V,R,V,V,V,V
329,V,A,V,R,A,A,V,A,R,R,K,K,A,K,A,K
330,V,R,V,K,R,R,V,R,K,K,A,V,K,K,R,V
331,R,V,K,A,R,A,A,A,R,K,V,V,K,R,V,A
332,V,R,K,V,A,V,V,A,V,A,K,A,A,R,V,K
333,V,A,V,K,V,A,R,A,A,V,R,K,R,A,V,R
334,K,V,V,R,K,V,V,K,R,R,A,K,K,K,R,V
335,R,K,A,K,V,A,V,R,R,A,K,V,A,A,R,A
336,K,A,K,R,A,A,K,V,K,A,R,K,R,K,V,A
337,A,V,V,R,A,A,A,A,V,A,R,A,K,K,K,V
338,R,K,A,A,K,V,V,V,A,A,R,A,K,A,V,K
339,V,R,V,A,R,V,V,R,K,A,K,K,K,R,A,R
340,R,K,R,A,K,V,A,V,R,V,V,R,V,V,V,A
341,K,K,R,R,A,K,V,V,A,V,R,A,K,R,V,K
342,A,K,R,A,A,V,A,A,R,K,K,R,R,A,K,R
343,A,R,V,V,A,K,A,R,K,K,K,R,K,A,K,K
344,R,V,V,R,K,K,K,K,A,K,V,K,V,A,A,V
345,V,V,A,A,K,V,R,A,V,V,K,K,V,A,R,K
346,R,A,K,A,R,R,A,V,V,R,A,K,R,R,V,K
347,R,K,A,R,A,A,K,R,R,V,R,R,A,A,R,K
348,V,A,V,A,R,R,V,K,A,R,V,K,V,A,K,K
349,A,V,R,R,R,K,K,K,R,K,A,V,R,A,R,A
350,R,K,K,V,A,K,A,R,V,A,A,R,K,R,V,R
351,K,R,R,A,A,V,V,A,V,K,K,K,R,A,K,V
352,K,R,K,R,A,R,R,A,K,K,V,K,A,A,A,R
353,A,K,V,K,R,V,A,V,K,A,A,A,A,A,V,A
354,K,V,R,R,V,A,A,V,R,V,V,K,A,V,R,R
355,R,A,K,V,K,R,A,A,V,A,K,R,A,K,K,R
356,R,A,V,R,K,V,K,A,R,A,R,R,R,R,V,R
357,A,V,K,R,A,K,R,A,K,R,V,A,V,K,K,A
358,A,R,K,V,R,K,A,V,A,R,A,K,R,R,R,R
359,R,A,R,K,R,R,V,V,K,V,V,V,V,R,A,V
360,A,V,A,R,K,A,A,R,R,A,V,V,K,A,A,R
361,R,A,K,V,R,A,A,K,R,A,R,R,A,V,A,A
362,R,K,A,A,V,V,V,A,R,R,V,K,V,V,R,R
363,V,A,A,R,A,A,A,A,R,R,K,K,R,A,V,K
364,V,K,A,V,V,A,V,K,K,K,R,V,K,K,V,R
365,R,A,K,K,V,A,R,V,R,A,A,K,K,A,A,A
366,A,K,V,K,R,A,R,V,R,R,R,R,V,A,K,V
367,V,R,K,R,R,A,K,R,V,R,A,K,V,A,V,V
368,R,V,V,K,K,V,V,K,A,V,V,R,K,R,K,A
369,K,A,A,K,A,R,V,K,R,R,V,R,R,A,K,K
370,K,K,R,A,K,K,R,V,V,R,V,R,A,K,A,A
371,K,R,K,R,A,A,R,A,R,K,V,A,V,V,R,A
372,V,V,K,R,V,K,A,K,K,V,A,R,A,K,V,A
373,A,V,K,V,R,K,A,V,A,A,V,V,V,K,A,A
374,V,K,A,K,K,A,K,R,V,A,A,A,A,A,V,A
375,V,A,K,V,A,V,A,K,V,R,A,K,V,R,K,A
376,R,K,K,V,A,R,V,K,V,K,A,A,A,V,A,R
377,A,A,K,V,K,K,A,A,K,A,K,K,K,K,A,V
378,K,A,V,R,R,K,A,A,K,R,K,K,V,K,A,A
379,K,A,A,A,K,R,K,V,K,R,R,V,K,A,A,A
380,R,V,A,K,A,R,K,R,K,R,V,V,V,V,K,R
381,R,K,K,A,A,V,A,K,K,A,V,V,K,K,R,R
382,R,V,R,A,V,R,R,R,K,A,V,A,K,K,K,A
383,V,R,R,A,R,K,R,R,R,A,K,A,V,K,A,K
384,V,A,A,R,A,A,A,K,K,K,K,A,K,V,R,R
385,V,K,V,K,A,K,A,R,V,A,A,A,K,R,A,K
386,K,R,A,V,R,R,K,A,V,A,K,V,R,K,A,R
387,K,R,K,A,A,K,V,R,A,V,V,R,R,V,R,R
388,K,A,K,V,K,R,A,K,K,R,R,V,R,R,K,A
389,R,A,V,R,K,A,V,K,K,K,V,K,R,K,A,R
390,A,V,K,V,A,K,K,A,A,R,V,K,K,K,V,V
391,A,K,K,R,K,R,K,A,A,R,K,A,A,R,K,R
392,K,R,V,A,R,K,A,A,V,K,R,A,V,R,R,K
393,A,R,V,A,K,R,R,V,A,A,A,V,K,K,A,R
394,A,V,R,A,V,V,K,A,A,A,R,K,R,R,R,K
395,K,K,V,A,V,R,V,V,R,V,K,V,R,R,K,K
396,K,V,V,V,V,V,A,A,R,A,A,V,V,A,R,V
397,V,R,V,A,A,A,K,K,K,K,V,V,R,K,A,R
398,V,K,A,A,A,A,V,R,A,K,A,V,K,V,R,A
399,R,V,R,A,V,R,A,K,V,R,V,K,V,R,K,R
400,A,K,K,K,R,R,A,R,K,R,K,K,V,V,A,A
401,K,R,V,R,K,K,A,V,A,A,K,A,V,R,V,V
402,K,V,V,V,A,A,A,R,R,A,K,K,R,R,A,A
403,R,V,A,A,A,V,R,R,R,R,A,R,R,A,V,R
404,K,K,A,V,K,V,V,K,V,K,V,V,R,A,V,A
405,V,K,K,R,V,A,V,K,R,V,V,V,K,R,R,V
406,V,A,K,R,R,K,V,R,A,V,R,K,A,K,A,A
